2021-01-30 10:53:28,741 INFO    MainThread:13296 [wandb_setup.py:_flush():70] setting env: {}
2021-01-30 10:53:28,742 INFO    MainThread:13296 [wandb_setup.py:_flush():70] multiprocessing start_methods=spawn
2021-01-30 10:53:28,742 INFO    MainThread:13296 [wandb_setup.py:_flush():70] setting login settings: {}
2021-01-30 10:53:28,742 INFO    MainThread:13296 [wandb_init.py:_log_setup():303] Logging user logs to C:\Users\Alikhan\OneDrive - Tonbridge School\School\EPQ\SMP Challenge\IIPA-Flickr-Dataset-Implementation\wandb\run-20210130_105328-2z6x5v9b\logs\debug.log
2021-01-30 10:53:28,743 INFO    MainThread:13296 [wandb_init.py:_log_setup():304] Logging internal logs to C:\Users\Alikhan\OneDrive - Tonbridge School\School\EPQ\SMP Challenge\IIPA-Flickr-Dataset-Implementation\wandb\run-20210130_105328-2z6x5v9b\logs\debug-internal.log
2021-01-30 10:53:31,488 INFO    MainThread:13296 [wandb_run.py:_console_start():1237] atexit reg
2021-01-30 10:53:31,491 INFO    MainThread:13296 [wandb_run.py:_redirect():1104] redirect: SettingsConsole.WRAP
2021-01-30 10:53:31,491 INFO    MainThread:13296 [wandb_run.py:_redirect():1135] Wrapping output streams.
2021-01-30 10:53:31,491 INFO    MainThread:13296 [wandb_run.py:_redirect():1151] Redirects installed.
2021-01-30 10:53:31,492 INFO    MainThread:13296 [wandb_config.py:__setitem__():135] config set batch_size = 6 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DDAC9765B0>>
2021-01-30 10:53:31,492 INFO    MainThread:13296 [wandb_run.py:_config_callback():549] config_cb batch_size 6 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 6}
2021-01-30 10:53:31,492 INFO    MainThread:13296 [wandb_config.py:__setitem__():135] config set validation_percentage = 0.2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DDAC9765B0>>
2021-01-30 10:53:31,493 INFO    MainThread:13296 [wandb_run.py:_config_callback():549] config_cb validation_percentage 0.2 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 6, 'validation_percentage': 0.2}
2021-01-30 10:53:31,493 INFO    MainThread:13296 [wandb_config.py:__setitem__():135] config set lr = 0.05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DDAC9765B0>>
2021-01-30 10:53:31,494 INFO    MainThread:13296 [wandb_run.py:_config_callback():549] config_cb lr 0.05 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 6, 'validation_percentage': 0.2, 'lr': 0.05}
2021-01-30 10:53:31,494 INFO    MainThread:13296 [wandb_config.py:__setitem__():135] config set random_seed = 99 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DDAC9765B0>>
2021-01-30 10:53:31,495 INFO    MainThread:13296 [wandb_run.py:_config_callback():549] config_cb random_seed 99 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 6, 'validation_percentage': 0.2, 'lr': 0.05, 'random_seed': 99}
2021-01-30 10:53:31,495 INFO    MainThread:13296 [wandb_config.py:__setitem__():135] config set momentum = 0.9 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001DDAC9765B0>>
2021-01-30 10:53:31,496 INFO    MainThread:13296 [wandb_run.py:_config_callback():549] config_cb momentum 0.9 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 6, 'validation_percentage': 0.2, 'lr': 0.05, 'random_seed': 99, 'momentum': 0.9}
