2021-02-03 14:57:40,657 INFO    MainThread:11844 [wandb_setup.py:_flush():70] setting env: {}
2021-02-03 14:57:40,658 INFO    MainThread:11844 [wandb_setup.py:_flush():70] multiprocessing start_methods=spawn
2021-02-03 14:57:40,658 INFO    MainThread:11844 [wandb_setup.py:_flush():70] setting login settings: {}
2021-02-03 14:57:40,658 INFO    MainThread:11844 [wandb_init.py:_log_setup():303] Logging user logs to C:\Users\Alikhan\OneDrive - Tonbridge School\School\EPQ\SMP Challenge\IIPA-Flickr-Dataset-Implementation\wandb\run-20210203_145740-3gqp8a7d\logs\debug.log
2021-02-03 14:57:40,659 INFO    MainThread:11844 [wandb_init.py:_log_setup():304] Logging internal logs to C:\Users\Alikhan\OneDrive - Tonbridge School\School\EPQ\SMP Challenge\IIPA-Flickr-Dataset-Implementation\wandb\run-20210203_145740-3gqp8a7d\logs\debug-internal.log
2021-02-03 14:57:44,308 INFO    MainThread:11844 [wandb_run.py:_console_start():1237] atexit reg
2021-02-03 14:57:44,310 INFO    MainThread:11844 [wandb_run.py:_redirect():1104] redirect: SettingsConsole.WRAP
2021-02-03 14:57:44,310 INFO    MainThread:11844 [wandb_run.py:_redirect():1135] Wrapping output streams.
2021-02-03 14:57:44,311 INFO    MainThread:11844 [wandb_run.py:_redirect():1151] Redirects installed.
2021-02-03 14:57:44,311 INFO    MainThread:11844 [wandb_config.py:__setitem__():135] config set batch_size = 16 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001884F32EE80>>
2021-02-03 14:57:44,311 INFO    MainThread:11844 [wandb_run.py:_config_callback():549] config_cb batch_size 16 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16}
2021-02-03 14:57:44,311 INFO    MainThread:11844 [wandb_config.py:__setitem__():135] config set validation_percentage = 0.2 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001884F32EE80>>
2021-02-03 14:57:44,312 INFO    MainThread:11844 [wandb_run.py:_config_callback():549] config_cb validation_percentage 0.2 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'validation_percentage': 0.2}
2021-02-03 14:57:44,312 INFO    MainThread:11844 [wandb_config.py:__setitem__():135] config set lr = 0.05 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001884F32EE80>>
2021-02-03 14:57:44,313 INFO    MainThread:11844 [wandb_run.py:_config_callback():549] config_cb lr 0.05 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'validation_percentage': 0.2, 'lr': 0.05}
2021-02-03 14:57:44,313 INFO    MainThread:11844 [wandb_config.py:__setitem__():135] config set random_seed = 99 - <bound method Run._config_callback of <wandb.sdk.wandb_run.Run object at 0x000001884F32EE80>>
2021-02-03 14:57:44,313 INFO    MainThread:11844 [wandb_run.py:_config_callback():549] config_cb random_seed 99 {'_wandb': {'cli_version': '0.10.12', 'python_version': '3.8.5', 'is_jupyter_run': False, 'is_kaggle_kernel': False, 'framework': 'torch'}, 'batch_size': 16, 'validation_percentage': 0.2, 'lr': 0.05, 'random_seed': 99}
