Epoch 1/50, Training Loss:2.2128487874916822, Training Accuracy:0.18777818977832794, Validation Loss:2.2675825680197463, Validation Accuracy:0.19985178112983704
Epoch 2/50, Training Loss:2.2094878474163844, Training Accuracy:0.19000370800495148, Validation Loss:2.70678469668264, Validation Accuracy:0.19388176500797272
Epoch 3/50, Training Loss:2.205867391311804, Training Accuracy:0.19151829183101654, Validation Loss:2.2357589913451155, Validation Accuracy:0.20491601526737213
Epoch 4/50, Training Loss:2.1956212363776064, Training Accuracy:0.19850395619869232, Validation Loss:2.2148425138514973, Validation Accuracy:0.20590415596961975
Epoch 5/50, Training Loss:2.1944520127407756, Training Accuracy:0.19754575192928314, Validation Loss:2.3780218991837483, Validation Accuracy:0.2040102183818817
Epoch 6/50, Training Loss:2.2053347667412044, Training Accuracy:0.19056008756160736, Validation Loss:2.2377757022503335, Validation Accuracy:0.1978343278169632
Epoch 7/50, Training Loss:2.1971413471342665, Training Accuracy:0.19488748908042908, Validation Loss:3.0721500937646558, Validation Accuracy:0.20030468702316284
Epoch 8/50, Training Loss:2.1898770369478786, Training Accuracy:0.20057491958141327, Validation Loss:2.677622374809778, Validation Accuracy:0.20466896891593933
Epoch 9/50, Training Loss:2.1856195803447953, Training Accuracy:0.2015022188425064, Validation Loss:2.329372275252587, Validation Accuracy:0.21232707798480988
Epoch 10/50, Training Loss:2.176531281303817, Training Accuracy:0.20431503653526306, Validation Loss:2.3133059035648, Validation Accuracy:0.20742753148078918
Epoch 11/50, Training Loss:2.1795846688405462, Training Accuracy:0.2030477225780487, Validation Loss:2.3902825253754267, Validation Accuracy:0.20611003041267395
Epoch 12/50, Training Loss:2.1694095421261888, Training Accuracy:0.20861151814460754, Validation Loss:2.245056188389247, Validation Accuracy:0.218008890748024
Epoch 13/50, Training Loss:2.169169701525295, Training Accuracy:0.2090751677751541, Validation Loss:2.351223858684419, Validation Accuracy:0.19709321856498718
Epoch 14/50, Training Loss:2.163768763888837, Training Accuracy:0.20975519716739655, Validation Loss:2.638386724730254, Validation Accuracy:0.21133893728256226
Epoch 15/50, Training Loss:2.1614132278279192, Training Accuracy:0.2146080583333969, Validation Loss:2.1982401270169043, Validation Accuracy:0.22290843725204468
Epoch 16/50, Training Loss:2.157145497706948, Training Accuracy:0.21751360595226288, Validation Loss:2.7586426084691826, Validation Accuracy:0.2236495465040207
Epoch 17/50, Training Loss:2.152331721122376, Training Accuracy:0.21853363513946533, Validation Loss:2.6598090237308396, Validation Accuracy:0.22171442210674286
Epoch 18/50, Training Loss:2.154346532213228, Training Accuracy:0.2201409488916397, Validation Loss:2.29417434582126, Validation Accuracy:0.22661395370960236
Epoch 19/50, Training Loss:2.1474690452645486, Training Accuracy:0.21828635036945343, Validation Loss:2.2765961275270334, Validation Accuracy:0.23040182888507843
